Iteration,Mean,Stdev,Run-0,Run-1,Run-2,Run-3,Run-4
0,0.023,0.0018973665961010506,0.023,0.02,0.025,0.022,0.025
1,1.9995999999999998,0.0032619012861545677,2.004,1.994,1.999,2.0,2.001
2,1.846,0.03217452408349764,1.849,1.809,1.835,1.905,1.832
3,1.9264,0.02808985582022086,1.905,1.889,1.928,1.97,1.94
4,1.9264,0.02808985582022086,1.905,1.889,1.928,1.97,1.94
5,1.9566,0.019396906969927644,1.944,1.936,1.983,1.977,1.943
6,1.95,0.010564090116989652,1.938,1.945,1.965,1.96,1.942
7,1.95,0.010564090116989652,1.938,1.945,1.965,1.96,1.942
8,1.9393999999999998,0.01818350901230268,1.929,1.934,1.969,1.949,1.916
9,1.9393999999999998,0.01818350901230268,1.929,1.934,1.969,1.949,1.916
10,1.9240000000000002,0.03080259729307426,1.901,1.911,1.978,1.937,1.893
11,1.9240000000000002,0.03080259729307426,1.901,1.911,1.978,1.937,1.893
12,1.9065999999999999,0.03309138860791501,1.88,1.876,1.962,1.927,1.888
13,1.9065999999999999,0.03309138860791501,1.88,1.876,1.962,1.927,1.888
14,1.8832,0.027737339454245648,1.852,1.859,1.92,1.912,1.873
15,1.8832,0.027737339454245648,1.852,1.859,1.92,1.912,1.873
16,1.8548000000000002,0.027534705373388074,1.826,1.84,1.891,1.885,1.832
17,1.8548000000000002,0.027534705373388074,1.826,1.84,1.891,1.885,1.832
18,1.8328,0.027592752671675696,1.802,1.818,1.867,1.865,1.812
19,1.8328,0.027592752671675696,1.802,1.818,1.867,1.865,1.812
20,1.8108,0.037875585804048796,1.776,1.783,1.861,1.853,1.781
21,1.8108,0.037875585804048796,1.776,1.783,1.861,1.853,1.781
22,1.7995999999999999,0.03255518391900011,1.777,1.769,1.849,1.828,1.775
23,1.7995999999999999,0.03255518391900011,1.777,1.769,1.849,1.828,1.775
24,1.765,0.032261432082289446,1.754,1.734,1.813,1.792,1.732
25,1.765,0.032261432082289446,1.754,1.734,1.813,1.792,1.732
26,1.7564,0.028182263926090734,1.756,1.731,1.797,1.777,1.721
27,1.7564,0.028182263926090734,1.756,1.731,1.797,1.777,1.721
28,1.734,0.031176914536239355,1.735,1.698,1.777,1.759,1.701
29,1.734,0.031176914536239355,1.735,1.698,1.777,1.759,1.701
30,1.7239999999999998,0.030977411124894324,1.714,1.695,1.772,1.747,1.692
31,1.7239999999999998,0.030977411124894324,1.714,1.695,1.772,1.747,1.692
32,1.7116,0.02728809264130839,1.709,1.689,1.752,1.731,1.677
33,1.7116,0.02728809264130839,1.709,1.689,1.752,1.731,1.677
34,1.6976,0.027954248335440305,1.694,1.675,1.741,1.715,1.663
35,1.6976,0.027954248335440305,1.694,1.675,1.741,1.715,1.663
36,1.6908,0.024309668858291902,1.69,1.677,1.73,1.7,1.657
37,1.6908,0.024309668858291902,1.69,1.677,1.73,1.7,1.657
38,1.6847999999999999,0.02421074141782026,1.682,1.664,1.723,1.699,1.656
39,1.6847999999999999,0.02421074141782026,1.682,1.664,1.723,1.699,1.656
40,1.6762000000000001,0.02496717845491614,1.667,1.656,1.718,1.69,1.65
41,1.6762000000000001,0.02496717845491614,1.667,1.656,1.718,1.69,1.65
42,1.6636,0.024088171371021018,1.662,1.642,1.699,1.681,1.634
43,1.6636,0.024088171371021018,1.662,1.642,1.699,1.681,1.634
44,1.6585999999999999,0.023652484013311725,1.652,1.637,1.697,1.673,1.634
45,1.6585999999999999,0.023652484013311725,1.652,1.637,1.697,1.673,1.634
46,1.6494,0.020323385544730326,1.645,1.632,1.683,1.66,1.627
47,1.6494,0.020323385544730326,1.645,1.632,1.683,1.66,1.627
48,1.6480000000000001,0.01937008002047712,1.647,1.631,1.677,1.661,1.624
49,1.6480000000000001,0.01937008002047712,1.647,1.631,1.677,1.661,1.624
50,1.6418,0.019384529914337263,1.637,1.625,1.674,1.652,1.621
51,1.6418,0.019384529914337263,1.637,1.625,1.674,1.652,1.621
52,1.6382,0.01776963702498977,1.636,1.625,1.667,1.647,1.616
53,1.6382,0.01776963702498977,1.636,1.625,1.667,1.647,1.616
54,1.6358000000000001,0.018015548839800916,1.632,1.627,1.663,1.647,1.61
55,1.6358000000000001,0.018015548839800916,1.632,1.627,1.663,1.647,1.61
56,1.6308,0.021329791372639753,1.629,1.625,1.66,1.644,1.596
57,1.6308,0.021329791372639753,1.629,1.625,1.66,1.644,1.596
58,1.6280000000000001,0.020287927444644988,1.625,1.623,1.658,1.638,1.596
59,1.6280000000000001,0.020287927444644988,1.625,1.623,1.658,1.638,1.596
